Chr	width	gene_id	gene_name	gene_biotype	type	GENEID
1	2096	ENSMUSG00000102628	Gm37671	TEC	gene	ENSMUSG00000102628
1	946	ENSMUSG00000100595	Gm19087	processed_pseudogene	gene	ENSMUSG00000100595
1	1274	ENSMUSG00000097426	Gm8941	processed_pseudogene	gene	ENSMUSG00000097426
1	2756	ENSMUSG00000104478	Gm38212	TEC	gene	ENSMUSG00000104478
1	663	ENSMUSG00000104385	Gm7449	processed_pseudogene	gene	ENSMUSG00000104385
1	4233	ENSMUSG00000086053	Gm15178	lncRNA	gene	ENSMUSG00000086053
1	178	ENSMUSG00000101231	Gm28283	processed_pseudogene	gene	ENSMUSG00000101231
1	7030	ENSMUSG00000102135	Gm37108	processed_pseudogene	gene	ENSMUSG00000102135
1	30	ENSMUSG00000103282	Gm37275	processed_pseudogene	gene	ENSMUSG00000103282
1	1869	ENSMUSG00000101097	Gm6679	processed_pseudogene	gene	ENSMUSG00000101097
1	1935	ENSMUSG00000100764	Gm29155	lncRNA	gene	ENSMUSG00000100764
1	4312	ENSMUSG00000102095	C730036E19Rik	lncRNA	gene	ENSMUSG00000102095
1	325	ENSMUSG00000102534	Gm37225	processed_pseudogene	gene	ENSMUSG00000102534
1	1127	ENSMUSG00000100831	Gm17847	processed_pseudogene	gene	ENSMUSG00000100831
1	187	ENSMUSG00000100884	Gm28281	processed_pseudogene	gene	ENSMUSG00000100884
1	612	ENSMUSG00000100635	Gm29157	lncRNA	gene	ENSMUSG00000100635
1	159	ENSMUSG00000102213	Gm37489	processed_pseudogene	gene	ENSMUSG00000102213
1	499	ENSMUSG00000100480	Gm29156	lncRNA	gene	ENSMUSG00000100480
1	130	ENSMUSG00000089037	Gm22159	snoRNA	gene	ENSMUSG00000089037
1	1303	ENSMUSG00000103629	Gm5694	processed_pseudogene	gene	ENSMUSG00000103629
1	285	ENSMUSG00002076531	7SK	misc_RNA	gene	ENSMUSG00002076531
1	1723	ENSMUSG00000100025	Gm8141	processed_pseudogene	gene	ENSMUSG00000100025
1	84709	ENSMUSG00000051285	Pcmtd1	protein_coding	gene	ENSMUSG00000051285
1	388	ENSMUSG00000098201	Gm26983	processed_pseudogene	gene	ENSMUSG00000098201
1	4028	ENSMUSG00000103509	Gm38372	TEC	gene	ENSMUSG00000103509
1	1299	ENSMUSG00000048538	Gm9826	processed_pseudogene	gene	ENSMUSG00000048538
